GeneID	TranscriptID	Number_sense_sites	Number_antisense_sites
ENSDARG00000015208	ENSDART00000136331	7	3	
ENSDARG00000015208	ENSDART00000081335	0	1	
ENSDARG00000015208	ENSDART00000008144	2	0	
ENSDARG00000015201	ENSDART00000152436	5	1	
ENSDARG00000015201	ENSDART00000144288	21	16	
ENSDARG00000077143	ENSDART00000112541	75	82	
ENSDARG00000059349	ENSDART00000124088	16	14	
ENSDARG00000059349	ENSDART00000082450	11	1	
ENSDARG00000043210	ENSDART00000088668	291	298	
ENSDARG00000043210	ENSDART00000138604	10	14	
ENSDARG00000043210	ENSDART00000135850	1	7	
ENSDARG00000043211	ENSDART00000131291	1	0	
ENSDARG00000030512	ENSDART00000135546	7	7	
ENSDARG00000030512	ENSDART00000148104	6	0	
ENSDARG00000030512	ENSDART00000043452	59	49	
ENSDARG00000030514	ENSDART00000146946	12	3	
ENSDARG00000030514	ENSDART00000131293	6	6	
ENSDARG00000030514	ENSDART00000039917	53	52	
ENSDARG00000034423	ENSDART00000143906	3	7	
ENSDARG00000034423	ENSDART00000078877	2	5	
ENSDARG00000034423	ENSDART00000140472	2	1	
ENSDARG00000034427	ENSDART00000055780	9	4	
ENSDARG00000034424	ENSDART00000141195	4	3	
ENSDARG00000034424	ENSDART00000097822	86	64	
ENSDARG00000074723	ENSDART00000113347	3	4	
ENSDARG00000074723	ENSDART00000151252	37	43	
ENSDARG00000074723	ENSDART00000151065	12	12	
ENSDARG00000074724	ENSDART00000131359	20	17	
ENSDARG00000074724	ENSDART00000065423	23	91	
ENSDARG00000002197	ENSDART00000149011	13	20	
ENSDARG00000002197	ENSDART00000023449	11	17	
ENSDARG00000074728	ENSDART00000146383	1	0	
ENSDARG00000074728	ENSDART00000114323	6	3	
ENSDARG00000002192	ENSDART00000143164	0	4	
ENSDARG00000002192	ENSDART00000064798	24	32	
ENSDARG00000018096	ENSDART00000015566	1	0	
ENSDARG00000018096	ENSDART00000141130	9	22	
ENSDARG00000094744	ENSDART00000146977	0	2	
ENSDARG00000094744	ENSDART00000152761	0	1	
ENSDARG00000041108	ENSDART00000140111	6	2	
ENSDARG00000041108	ENSDART00000060245	37	22	
ENSDARG00000090840	ENSDART00000127340	0	1	
ENSDARG00000090840	ENSDART00000150676	17	9	
ENSDARG00000092997	ENSDART00000137006	14	12	
ENSDARG00000092997	ENSDART00000147234	4	10	
ENSDARG00000092996	ENSDART00000136954	11	16	
ENSDARG00000092996	ENSDART00000139571	17	12	
ENSDARG00000092990	ENSDART00000149274	23	20	
ENSDARG00000092999	ENSDART00000136543	10	12	
ENSDARG00000007614	ENSDART00000150178	21	18	
ENSDARG00000007614	ENSDART00000150173	8	6	
ENSDARG00000007614	ENSDART00000020806	5	15	
ENSDARG00000061215	ENSDART00000087062	28	15	
ENSDARG00000061215	ENSDART00000127224	79	52	
ENSDARG00000075450	ENSDART00000149474	26	21	
ENSDARG00000075450	ENSDART00000111801	46	75	
ENSDARG00000075455	ENSDART00000140136	1	1	
ENSDARG00000075455	ENSDART00000113106	5	1	
ENSDARG00000075455	ENSDART00000121587	172	185	
ENSDARG00000075454	ENSDART00000149810	32	52	
ENSDARG00000075454	ENSDART00000148493	1	2	
ENSDARG00000075457	ENSDART00000151180	8	8	
ENSDARG00000051888	ENSDART00000137729	23	12	
ENSDARG00000051888	ENSDART00000143168	6	4	
ENSDARG00000051888	ENSDART00000123273	1	0	
ENSDARG00000015985	ENSDART00000013990	27	30	
ENSDARG00000015985	ENSDART00000079987	8	5	
ENSDARG00000089032	ENSDART00000130196	6	18	
ENSDARG00000015989	ENSDART00000152712	3	12	
ENSDARG00000015989	ENSDART00000114854	1	0	
ENSDARG00000015989	ENSDART00000005789	14	3	
ENSDARG00000015989	ENSDART00000152772	12	14	
ENSDARG00000091714	ENSDART00000145130	20	19	
ENSDARG00000091715	ENSDART00000126322	23	15	
ENSDARG00000091715	ENSDART00000152509	14	6	
ENSDARG00000078729	ENSDART00000111070	1	0	
ENSDARG00000078725	ENSDART00000114960	238	277	
ENSDARG00000078725	ENSDART00000148997	84	81	
ENSDARG00000078722	ENSDART00000114783	205	138	
ENSDARG00000078722	ENSDART00000145122	17	7	
ENSDARG00000078723	ENSDART00000151861	1	0	
ENSDARG00000078723	ENSDART00000106601	41	21	
ENSDARG00000093715	ENSDART00000150162	5	1	
ENSDARG00000093713	ENSDART00000150399	13	20	
ENSDARG00000045301	ENSDART00000066623	50	25	
ENSDARG00000045306	ENSDART00000066631	35	45	
ENSDARG00000045306	ENSDART00000144961	4	10	
ENSDARG00000045304	ENSDART00000137436	4	2	
ENSDARG00000045304	ENSDART00000144574	1	2	
ENSDARG00000045304	ENSDART00000130077	2	3	
ENSDARG00000045304	ENSDART00000066628	52	49	
ENSDARG00000045305	ENSDART00000146570	0	1	
ENSDARG00000045305	ENSDART00000144791	2	0	
ENSDARG00000045305	ENSDART00000138741	42	29	
ENSDARG00000013976	ENSDART00000013294	69	69	
ENSDARG00000045308	ENSDART00000128595	2	4	
ENSDARG00000045308	ENSDART00000127188	5	7	
ENSDARG00000045308	ENSDART00000138097	1	0	
ENSDARG00000013975	ENSDART00000150320	4	3	
ENSDARG00000013975	ENSDART00000150822	9	7	
ENSDARG00000058280	ENSDART00000081048	6	6	
ENSDARG00000058280	ENSDART00000137784	11	17	
ENSDARG00000058280	ENSDART00000129168	8	2	
ENSDARG00000058280	ENSDART00000126551	12	12	
ENSDARG00000044655	ENSDART00000147860	1	0	
ENSDARG00000096298	ENSDART00000151323	2	0	
ENSDARG00000096298	ENSDART00000151505	16	15	
ENSDARG00000096298	ENSDART00000151589	14	5	
ENSDARG00000011222	ENSDART00000135200	12	15	
ENSDARG00000019438	ENSDART00000003303	6	6	
ENSDARG00000019438	ENSDART00000130581	55	62	
ENSDARG00000019438	ENSDART00000131952	6	1	
ENSDARG00000067795	ENSDART00000138200	1	0	
ENSDARG00000067797	ENSDART00000097650	1	0	
ENSDARG00000067797	ENSDART00000113723	66	52	
ENSDARG00000061829	ENSDART00000135692	3	4	
ENSDARG00000061829	ENSDART00000142748	7	11	
ENSDARG00000061829	ENSDART00000088603	6	5	
ENSDARG00000061827	ENSDART00000088650	22	29	
ENSDARG00000041689	ENSDART00000143643	1	0	
ENSDARG00000015930	ENSDART00000143928	4	1	
ENSDARG00000015930	ENSDART00000138461	8	7	
ENSDARG00000055554	ENSDART00000077931	19	12	
ENSDARG00000055551	ENSDART00000077922	8	8	
ENSDARG00000055551	ENSDART00000132686	25	25	
ENSDARG00000071058	ENSDART00000104826	1	0	
ENSDARG00000071058	ENSDART00000145629	0	1	
ENSDARG00000053240	ENSDART00000103663	25	24	
ENSDARG00000053240	ENSDART00000103662	11	8	
ENSDARG00000053241	ENSDART00000075252	1	0	
ENSDARG00000053241	ENSDART00000146602	14	5	
ENSDARG00000059669	ENSDART00000121500	3	5	
ENSDARG00000059669	ENSDART00000143309	71	62	
ENSDARG00000059669	ENSDART00000123640	7	7	
ENSDARG00000059669	ENSDART00000083160	1	1	
ENSDARG00000041974	ENSDART00000061520	6	3	
ENSDARG00000041974	ENSDART00000124935	35	21	
ENSDARG00000090439	ENSDART00000133238	28	21	
ENSDARG00000090431	ENSDART00000110386	1	1	
ENSDARG00000090431	ENSDART00000128320	25	16	
ENSDARG00000090431	ENSDART00000113700	2	0	
ENSDARG00000061797	ENSDART00000088572	82	73	
ENSDARG00000061797	ENSDART00000141365	4	6	
ENSDARG00000061796	ENSDART00000140386	53	33	
ENSDARG00000061794	ENSDART00000088546	0	6	
ENSDARG00000024109	ENSDART00000131935	2	7	
ENSDARG00000024109	ENSDART00000141814	7	2	
ENSDARG00000024109	ENSDART00000144526	1	1	
ENSDARG00000024109	ENSDART00000039265	22	14	
ENSDARG00000056395	ENSDART00000078885	216	224	
ENSDARG00000056395	ENSDART00000135984	1	0	
ENSDARG00000023771	ENSDART00000148678	10	14	
ENSDARG00000023771	ENSDART00000087300	137	131	
ENSDARG00000052677	ENSDART00000132705	51	102	
ENSDARG00000052674	ENSDART00000121429	4	3	
ENSDARG00000052673	ENSDART00000149771	27	19	
ENSDARG00000052673	ENSDART00000149723	10	0	
ENSDARG00000052673	ENSDART00000148631	1	0	
ENSDARG00000021688	ENSDART00000103588	5	5	
ENSDARG00000057042	ENSDART00000079638	1	0	
ENSDARG00000057040	ENSDART00000101332	6	9	
ENSDARG00000022795	ENSDART00000039027	19	20	
ENSDARG00000022795	ENSDART00000143006	4	0	
ENSDARG00000060469	ENSDART00000085228	15	11	
ENSDARG00000060469	ENSDART00000133310	28	12	
ENSDARG00000020482	ENSDART00000011699	86	56	
ENSDARG00000020482	ENSDART00000146287	2	5	
ENSDARG00000020488	ENSDART00000115015	90	190	
ENSDARG00000020488	ENSDART00000045713	22	22	
ENSDARG00000071724	ENSDART00000133704	7	13	
ENSDARG00000020153	ENSDART00000131839	0	1	
ENSDARG00000020153	ENSDART00000017975	2	5	
ENSDARG00000020153	ENSDART00000134350	14	21	
ENSDARG00000020153	ENSDART00000143134	2	12	
ENSDARG00000004291	ENSDART00000142835	7	3	
ENSDARG00000004296	ENSDART00000027026	28	31	
ENSDARG00000004296	ENSDART00000135645	1	0	
ENSDARG00000004296	ENSDART00000135457	2	3	
ENSDARG00000004296	ENSDART00000130283	4	5	
ENSDARG00000004296	ENSDART00000142677	4	2	
ENSDARG00000027918	ENSDART00000038155	3	6	
ENSDARG00000087645	ENSDART00000150426	36	35	
ENSDARG00000087645	ENSDART00000121915	62	51	
ENSDARG00000087647	ENSDART00000131014	8	4	
